id,user_id,resource_id,ssno,resource_name,author,borrow_start_time,borrow_end_time
29195,5217ad404b689f8e84233e55b35a7686,6369889,6369889,现代汉语八百词,吕叔湘（主编）,2020/1/1 16:06,2020/1/8 16:06
29196,7fea284156e6c3cc2d7ee05a4beda716,2089914,2089914,御製大誥三編,(明)朱元璋撰,2020/1/1 16:07,2020/1/8 16:07
29197,3383c037df1cbed737f0a5ffa2efcfbc,33128191,33128191,中国知识分子论,余英时,2020/1/1 16:18,2020/1/8 16:18
29198,2578b674559c3170ed691db0ef5ff33b,1001416,1001416,解析胡适,欧阳哲生选编,2020/1/1 16:20,2020/1/8 16:20
29199,2b247a3fb6eee2ed0e8a74aab21b4002,6030465,6030465,性命圭旨,,2020/1/1 16:24,2020/1/8 16:24
29200,2b247a3fb6eee2ed0e8a74aab21b4002,39000015,39000015,性命雙脩萬神圭旨元集,,2020/1/1 16:28,2020/1/8 16:28
29201,969c8365cc12d0a6c41ec344df1bdd38,33049466,33049466,中外民间组织交流与合作,孙永福主编,2020/1/1 16:47,2020/1/8 16:47
29202,31f7e31d3c1a243ea36f9570a413df74,13289145,13289145,大学的理念,(英)纽曼(NewmanJ.H.),2020/1/1 16:49,2020/1/8 16:49
29203,c6d05fcea1ba834969344699870124ab,61006774,61006774,邵位西遺文,(清)邵懿辰（撰）,2020/1/1 16:54,2020/1/8 16:54
29204,60e7457343172e0e9d92507c4252fbcf,66001109,66001109,Biological control of insect pests and weeds,"Debach, Paul",2020/1/1 17:02,2020/1/8 17:02
29205,33a2cc23e7b79ea53c3f30e556e01fdc,2118882,2118882,尋古齋詩集(二),(清)李繼聖撰,2020/1/1 17:13,2020/1/8 17:13
29206,35f6e9ba312c711acc50dd686a7aec9f,11202706,11202706,紗籠文選：五,(清)釋含澈；(清)鄧實森,2020/1/1 17:13,2020/1/8 17:13
29207,c28299964134c81bbf59d2849c2edac1,6380610,6380610,中国思想传统的现代诠释,余英时（著）,2020/1/1 17:14,2020/1/8 17:14
29208,35f6e9ba312c711acc50dd686a7aec9f,11202707,11202707,紗籠文選：六,(清)釋含澈；(清)鄧實森,2020/1/1 17:21,2020/1/8 17:21
29209,ee542e2c775e701230e818ddc317f95a,9250886,9250886,毛细管区带电泳分析金属离子配合物研究,刘笔锋,2020/1/1 17:28,2020/1/8 17:28
29210,164604a73d598bbf92afead1f7d32ffd,33004777,33004777,可靠性工程,屈滋培著,2020/1/1 17:33,2020/1/8 17:33
29211,164604a73d598bbf92afead1f7d32ffd,6507891,6507891,实用可靠性工程,[美]E.E.刘易斯（著）；冯允成；夏国平,2020/1/1 17:35,2020/1/8 17:35
29212,5b5e23cbd64ae76e48d84b33110fed43,6376112,6376112,辛稼轩年谱,邓广铭（著）,2020/1/1 17:39,2020/1/8 17:39
29213,2020a83d8236f7279fdda34175108e23,13291363,13291363,碰撞振动与控制,金栋平；胡海岩,2020/1/1 17:42,2020/1/8 17:42
29214,2578b674559c3170ed691db0ef5ff33b,33062323,33062323,傅斯年全集  第七卷,欧阳哲生主编,2020/1/1 17:46,2020/1/8 17:46
29215,2578b674559c3170ed691db0ef5ff33b,33062321,33062321,傅斯年全集  第五卷,欧阳哲生主编,2020/1/1 17:48,2020/1/8 17:48
29216,2578b674559c3170ed691db0ef5ff33b,33062320,33062320,傅斯年全集  第四卷,欧阳哲生主编,2020/1/1 18:08,2020/1/8 18:08
29217,a811d8533b14f0b4f2eec8c1db50284e,6376194,6376194,欣慰的纪念,许广平（著）,2020/1/1 18:13,2020/1/8 18:13
29218,83e4cf45e0aaf4c8f9a17c7d216a75c2,4504505,4504505,北京大学史料：第二卷（1912～1937）下册,王学珍；郭建荣,2020/1/1 18:55,2020/1/8 18:55
29219,59cb2e7202d92a35890a6e079ee43ceb,13060601,13060601,海洋国之日本,华北政务委员会政务厅情报局编印,2020/1/1 19:05,2020/1/8 19:05
29220,4144b580c1d2f7e0371ffbeec1f68ad5,32025616,32025616,建筑结构概率极限状态设计,李继华,2020/1/1 19:08,2020/1/8 19:08
29221,c6639554be6429a8452a213052097fff,H8265844,H8265844,植物营养的生态生理学和遗传学,张福锁,2020/1/1 19:22,2020/1/8 19:22
29222,c47f8900d3153776f55a9e3082ff2af4,6333585,6333585,超音速飞机,Н.И.利斯特文（编）；王全仁,2020/1/1 19:37,2020/1/8 19:37
29223,0786479feaf7659f4e21c6711c803915,7112271,7112271,现代数值数学和计算,同济大学（编著）,2020/1/1 19:56,2020/1/8 19:56
29224,09183e9ec4f1d128386beab72c1d229e,6852263,6852263,冷冲压模具结构图册大全,高广升(编)；王树勋（编）,2020/1/1 19:57,2020/1/8 19:57
